sample_id;barcode;sampling;temp;pna
barcode01_AS;BC01;AS;normal;0
barcode01_bulk;BC01;bulk;normal;0
barcode02_AS;BC02;AS;normal;0
barcode02_bulk;BC02;bulk;normal;0
barcode03_AS;BC03;AS;60;0.5
barcode03_bulk;BC03;bulk;60;0.5
barcode04_AS;BC04;AS;60;0.5
barcode04_bulk;BC04;bulk;60;0.5
barcode05_AS;BC05;AS;60;3
barcode05_bulk;BC05;bulk;60;3
barcode06_AS;BC06;AS;60;3
barcode06_bulk;BC06;bulk;60;3
barcode07_AS;BC07;AS;60;6
barcode07_bulk;BC07;bulk;60;6
barcode08_AS;BC08;AS;60;6
barcode08_bulk;BC08;bulk;60;6
barcode09_AS;BC09;AS;65;0.5
barcode09_bulk;BC09;bulk;65;0.5
barcode10_AS;BC10;AS;65;0.5
barcode10_bulk;BC10;bulk;65;0.5
barcode11_AS;BC11;AS;65;3
barcode11_bulk;BC11;bulk;65;3
barcode12_AS;BC12;AS;65;3
barcode12_bulk;BC12;bulk;65;3
barcode13_AS;BC13;AS;65;6
barcode13_bulk;BC13;bulk;65;6
barcode14_AS;BC14;AS;65;6
barcode14_bulk;BC14;bulk;65;6
barcode15_AS;BC15;AS;70;0.5
barcode15_bulk;BC15;bulk;70;0.5
barcode16_AS;BC16;AS;70;0.5
barcode16_bulk;BC16;bulk;70;0.5
barcode17_AS;BC17;AS;70;3
barcode17_bulk;BC17;bulk;70;3
barcode18_AS;BC18;AS;70;3
barcode18_bulk;BC18;bulk;70;3
barcode19_AS;BC19;AS;70;6
barcode19_bulk;BC19;bulk;70;6
barcode20_AS;BC20;AS;70;6
barcode20_bulk;BC20;bulk;70;6
